Quarter,Apple Percentage,Date Filed
Q4 2024,28.1,2/14/2025
Q3 2024,26.2,11/14/2024
Q2 2024,30.1,8/14/2024
Q1 2024,40.8,5/15/2024
Q4 2023,50.2,2/14/2024
Q2 2023,51,8/14/2023
Q1 2023,46.4,5/15/2023
Q4 2022,38.9,2/14/2023
Q3 2022,41.8,11/14/2022
Q2 2022,40.8,8/15/2022
Q1 2022,42.8,5/16/2022
Q4 2021,47.6,2/14/2022
Q3 2021,42.8,11/15/2021
Q2 2021,41.5,8/16/2021
Q1 2021,40.1,5/17/2021
Q4 2020,43.6,2/16/2021
Q3 2020,47.8,11/16/2020
Q2 2020,44.2,8/14/2020
Q1 2020,35.5,5/15/2020
Q4 2019,29.7,2/14/2020
Q3 2019,26,11/14/2019
Q2 2019,23.7,8/14/2019
Q1 2019,23.8,5/15/2019
Q4 2018,21.5,2/14/2019
Q3 2018,25.8,11/14/2018
Q2 2018,23.8,8/14/2018
Q1 2018,21.3,5/15/2018
Q4 2017,14.6,2/14/2018
Q3 2017,11.6,11/14/2017
Q2 2017,11.6,8/14/2017
Q1 2017,11.5,5/15/2017
Q4 2016,4.5,2/14/2017
Q3 2016,1.3,11/14/2016
Q2 2016,1.1,8/15/2016
Q1 2016,0.8,5/16/2016
