filing_date,quarter,AAPL,AXP,BAC,CB,CVX,DVA,KHC,KO,MCO,OXY
2/14/2014,Q4 2013,,13.1,,,,2.2,,15.8,1.8,
5/15/2014,Q1 2014,,12.9,,,,2.4,,14.6,1.9,
8/14/2014,Q2 2014,,13.4,,,,2.5,,15.8,2,
11/14/2014,Q3 2014,,12.3,,,,2.6,,15.8,2.2,
2/17/2015,Q4 2014,,12.9,,,,2.7,,15.4,2.2,
5/15/2015,Q1 2015,,11.1,,,,2.9,,15.1,2.4,
8/14/2015,Q2 2015,,11,,,,2.9,,14.6,2.5,
11/16/2015,Q3 2015,,8.8,,,,2.2,18,12.6,1.9,
2/16/2016,Q4 2015,,8,,,,2,18,13,1.9,
5/16/2016,Q1 2016,0.8,7.2,,,,2.2,19.9,14.4,1.9,
8/15/2016,Q2 2016,1.1,7.1,,,,2.3,22.2,14,1.8,
11/14/2016,Q3 2016,1.3,7.5,,,,2,22.6,13.1,2.1,
2/14/2017,Q4 2016,4.5,7.6,,,,1.7,19.2,11.2,1.6,
5/15/2017,Q1 2017,11.5,7.4,,,,1.6,18.3,10.5,1.7,
8/14/2017,Q2 2017,11.6,7.9,,,,1.5,17.2,11.1,1.9,
11/14/2017,Q3 2017,11.6,7.7,9.7,,,1.3,14.2,10.1,1.9,
2/14/2018,Q4 2017,14.6,7.9,10.5,,,1.5,13.2,9.6,1.9,
5/15/2018,Q1 2018,21.3,7.5,10.8,,,1.3,10.7,9.2,2.1,
8/14/2018,Q2 2018,23.8,7.6,9.8,,,1.4,10.5,9,2.2,
11/14/2018,Q3 2018,25.8,7.3,11.7,,,1.2,8.1,8.4,1.9,
2/14/2019,Q4 2018,21.5,7.9,12.1,,,1.1,7.7,10.3,1.9,
5/15/2019,Q1 2019,23.8,8.3,12.4,,,1,5.3,9.4,2.2,
8/14/2019,Q2 2019,23.7,9,12.9,,,1,4.9,9.8,2.3,
11/14/2019,Q3 2019,26,8.4,12.6,,,1,4.2,10.1,2.4,0.2
2/14/2020,Q4 2019,29.7,7.8,13.5,,,1.2,4.3,9.1,2.4,0.3
5/15/2020,Q1 2020,35.5,7.4,11.2,,,1.7,4.6,10.1,3,0.1
8/14/2020,Q2 2020,44.2,7.1,10.9,,,1.5,5.1,8.8,3.3,
11/16/2020,Q3 2020,47.8,6.6,10.6,,,1.4,4.3,8.6,3.1,
2/16/2021,Q4 2020,43.6,6.8,11.3,,1.5,1.6,4.2,8.1,2.7,
5/17/2021,Q1 2021,40.1,7.9,14.5,,0.9,1.4,4.8,7.8,2.7,
8/16/2021,Q2 2021,41.5,8.5,14.2,,0.8,1.5,4.5,7.4,3.1,
11/15/2021,Q3 2021,42.8,8.7,14.6,,1,1.4,4.1,7.2,3,
2/14/2022,Q4 2021,47.6,7.5,13.6,,1.4,1.2,3.5,7.2,2.9,
5/16/2022,Q1 2022,42.8,7.8,11.5,,7.1,1.1,3.5,6.8,2.3,2.1
8/15/2022,Q2 2022,40.8,7,10.5,,7.8,1,4.1,8.4,2.2,3.1
11/14/2022,Q3 2022,41.8,6.9,10.3,,8,1,3.7,7.6,2,4
2/14/2023,Q4 2022,38.9,7.5,11.2,,9.8,0.9,4.4,8.5,2.3,4.1
5/15/2023,Q1 2023,46.4,7.7,9.1,,6.6,0.9,3.9,7.6,2.3,4.1
8/14/2023,Q2 2023,51,7.6,8.5,,5.6,1,3.3,6.9,2.5,3.8
11/16/2023,Q3 2023,50,7.2,9,,5.9,1.1,3.5,7.1,2.5,4.6
2/14/2024,Q4 2023,50.2,8.2,10,,5.4,1.1,3.5,6.8,2.8,4.2
5/15/2024,Q1 2024,40.8,10.4,11.8,2,5.8,1.5,3.6,7.4,2.9,4.9
8/14/2024,Q2 2024,30.1,12.5,14.7,2.5,6.6,1.8,3.7,9.1,3.7,5.7
11/14/2024,Q3 2024,26.2,15.4,11.9,2.9,6.6,2.2,4.3,10.8,4.4,4.9
2/14/2025,Q4 2024,28.1,16.8,11.2,2.8,6.4,2,3.7,9.3,4.4,4.9
